Fraction,Beta,Noise,Method,Average
0.25,0.25,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.25,0.010000000000000002,Omni,0.6214776632302406
0.25,0.25,0.010000000000000002,UASE,0.906426116838488
0.25,0.25,0.04000000000000001,Clarity,0.9997938144329896
0.25,0.25,0.04000000000000001,Omni,0.5803092783505155
0.25,0.25,0.04000000000000001,UASE,0.8503436426116838
0.25,0.25,0.09000000000000002,Clarity,0.9999312714776633
0.25,0.25,0.09000000000000002,Omni,0.5513058419243986
0.25,0.25,0.09000000000000002,UASE,0.7313058419243986
0.25,0.25,0.16000000000000003,Clarity,0.9998281786941581
0.25,0.25,0.16000000000000003,Omni,0.5046735395189004
0.25,0.25,0.16000000000000003,UASE,0.6305498281786942
0.25,0.25,0.25,Clarity,0.994914089347079
0.25,0.25,0.25,Omni,0.47580756013745706
0.25,0.25,0.25,UASE,0.5512371134020618
0.25,0.25,0.36,Clarity,0.9669415807560138
0.25,0.25,0.36,Omni,0.4374914089347079
0.25,0.25,0.36,UASE,0.498659793814433
0.25,0.25,0.4900000000000001,Clarity,0.9087972508591066
0.25,0.25,0.4900000000000001,Omni,0.4209278350515464
0.25,0.25,0.4900000000000001,UASE,0.4692783505154639
0.25,0.25,0.6400000000000001,Clarity,0.8356701030927836
0.25,0.25,0.6400000000000001,Omni,0.44859106529209625
0.25,0.25,0.6400000000000001,UASE,0.46443298969072166
0.25,0.25,0.81,Clarity,0.7530240549828179
0.25,0.25,0.81,Omni,0.45075601374570445
0.25,0.25,0.81,UASE,0.46649484536082475
0.25,0.25,1,Clarity,0.6858762886597938
0.25,0.25,1,Omni,0.4663573883161512
0.25,0.25,1,UASE,0.4589003436426117
0.25,0.5,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.5,0.010000000000000002,Omni,0.6056013745704467
0.25,0.5,0.010000000000000002,UASE,0.9341237113402062
0.25,0.5,0.04000000000000001,Clarity,0.9997938144329896
0.25,0.5,0.04000000000000001,Omni,0.5818213058419244
0.25,0.5,0.04000000000000001,UASE,0.9190721649484536
0.25,0.5,0.09000000000000002,Clarity,0.9999656357388316
0.25,0.5,0.09000000000000002,Omni,0.5507903780068728
0.25,0.5,0.09000000000000002,UASE,0.8950515463917526
0.25,0.5,0.16000000000000003,Clarity,1
0.25,0.5,0.16000000000000003,Omni,0.5097250859106529
0.25,0.5,0.16000000000000003,UASE,0.8603436426116838
0.25,0.5,0.25,Clarity,0.9999312714776633
0.25,0.5,0.25,Omni,0.45852233676975945
0.25,0.5,0.25,UASE,0.8211683848797251
0.25,0.5,0.36,Clarity,0.9979725085910653
0.25,0.5,0.36,Omni,0.42800687285223366
0.25,0.5,0.36,UASE,0.7574570446735395
0.25,0.5,0.4900000000000001,Clarity,0.9892783505154639
0.25,0.5,0.4900000000000001,Omni,0.43099656357388316
0.25,0.5,0.4900000000000001,UASE,0.6219587628865979
0.25,0.5,0.6400000000000001,Clarity,0.9619931271477663
0.25,0.5,0.6400000000000001,Omni,0.42584192439862545
0.25,0.5,0.6400000000000001,UASE,0.5425773195876289
0.25,0.5,0.81,Clarity,0.9161512027491409
0.25,0.5,0.81,Omni,0.4307560137457045
0.25,0.5,0.81,UASE,0.5175601374570447
0.25,0.5,1,Clarity,0.8533676975945017
0.25,0.5,1,Omni,0.4663573883161512
0.25,0.5,1,UASE,0.49800687285223366
0.25,0.75,0.010000000000000002,Clarity,0.9996563573883162
0.25,0.75,0.010000000000000002,Omni,0.5871134020618557
0.25,0.75,0.010000000000000002,UASE,0.959278350515464
0.25,0.75,0.04000000000000001,Clarity,0.9998281786941581
0.25,0.75,0.04000000000000001,Omni,0.5661168384879725
0.25,0.75,0.04000000000000001,UASE,0.9568384879725086
0.25,0.75,0.09000000000000002,Clarity,0.9999656357388316
0.25,0.75,0.09000000000000002,Omni,0.5381443298969072
0.25,0.75,0.09000000000000002,UASE,0.9534707903780069
0.25,0.75,0.16000000000000003,Clarity,1
0.25,0.75,0.16000000000000003,Omni,0.49350515463917527
0.25,0.75,0.16000000000000003,UASE,0.95
0.25,0.75,0.25,Clarity,0.9999656357388316
0.25,0.75,0.25,Omni,0.4550171821305842
0.25,0.75,0.25,UASE,0.9398281786941581
0.25,0.75,0.36,Clarity,0.9997938144329896
0.25,0.75,0.36,Omni,0.44261168384879723
0.25,0.75,0.36,UASE,0.9172164948453608
0.25,0.75,0.4900000000000001,Clarity,0.9979381443298969
0.25,0.75,0.4900000000000001,Omni,0.5564948453608247
0.25,0.75,0.4900000000000001,UASE,0.8285910652920963
0.25,0.75,0.6400000000000001,Clarity,0.9892783505154639
0.25,0.75,0.6400000000000001,Omni,0.5409278350515464
0.25,0.75,0.6400000000000001,UASE,0.7083848797250859
0.25,0.75,0.81,Clarity,0.967594501718213
0.25,0.75,0.81,Omni,0.4978694158075601
0.25,0.75,0.81,UASE,0.6386254295532646
0.25,0.75,1,Clarity,0.9328865979381443
0.25,0.75,1,Omni,0.5069415807560137
0.25,0.75,1,UASE,0.5981099656357388
0.25,1,0.010000000000000002,Clarity,0.9996563573883162
0.25,1,0.010000000000000002,Omni,0.7088659793814432
0.25,1,0.010000000000000002,UASE,0.9807903780068729
0.25,1,0.04000000000000001,Clarity,0.9997594501718213
0.25,1,0.04000000000000001,Omni,0.6823711340206186
0.25,1,0.04000000000000001,UASE,0.9816494845360825
0.25,1,0.09000000000000002,Clarity,1
0.25,1,0.09000000000000002,Omni,0.6423024054982818
0.25,1,0.09000000000000002,UASE,0.9824054982817869
0.25,1,0.16000000000000003,Clarity,1
0.25,1,0.16000000000000003,Omni,0.5957044673539519
0.25,1,0.16000000000000003,UASE,0.9829209621993127
0.25,1,0.25,Clarity,1
0.25,1,0.25,Omni,0.5391408934707904
0.25,1,0.25,UASE,0.9814776632302405
0.25,1,0.36,Clarity,0.9999312714776633
0.25,1,0.36,Omni,0.5367353951890035
0.25,1,0.36,UASE,0.9740549828178694
0.25,1,0.4900000000000001,Clarity,0.9991752577319588
0.25,1,0.4900000000000001,Omni,0.6841237113402062
0.25,1,0.4900000000000001,UASE,0.9351890034364261
0.25,1,0.6400000000000001,Clarity,0.996701030927835
0.25,1,0.6400000000000001,Omni,0.6289003436426117
0.25,1,0.6400000000000001,UASE,0.8540893470790378
0.25,1,0.81,Clarity,0.9861855670103092
0.25,1,0.81,Omni,0.6130584192439863
0.25,1,0.81,UASE,0.7812371134020618
0.25,1,1,Clarity,0.9665292096219932
0.25,1,1,Omni,0.5944329896907217
0.25,1,1,UASE,0.7324398625429553
0.5,0.25,0.010000000000000002,Clarity,0.9724842105263157
0.5,0.25,0.010000000000000002,Omni,0.6382526315789474
0.5,0.25,0.010000000000000002,UASE,0.9192842105263158
0.5,0.25,0.04000000000000001,Clarity,0.9723999999999999
0.5,0.25,0.04000000000000001,Omni,0.594
0.5,0.25,0.04000000000000001,UASE,0.8566526315789473
0.5,0.25,0.09000000000000002,Clarity,0.9730105263157894
0.5,0.25,0.09000000000000002,Omni,0.5678947368421052
0.5,0.25,0.09000000000000002,UASE,0.7412631578947368
0.5,0.25,0.16000000000000003,Clarity,0.9696421052631579
0.5,0.25,0.16000000000000003,Omni,0.5254526315789474
0.5,0.25,0.16000000000000003,UASE,0.6289052631578947
0.5,0.25,0.25,Clarity,0.945221052631579
0.5,0.25,0.25,Omni,0.4949263157894737
0.5,0.25,0.25,UASE,0.5368
0.5,0.25,0.36,Clarity,0.8858526315789473
0.5,0.25,0.36,Omni,0.44865263157894736
0.5,0.25,0.36,UASE,0.4838736842105263
0.5,0.25,0.4900000000000001,Clarity,0.8108631578947368
0.5,0.25,0.4900000000000001,Omni,0.42197894736842106
0.5,0.25,0.4900000000000001,UASE,0.4548
0.5,0.25,0.6400000000000001,Clarity,0.7483368421052632
0.5,0.25,0.6400000000000001,Omni,0.43534736842105265
0.5,0.25,0.6400000000000001,UASE,0.46616842105263157
0.5,0.25,0.81,Clarity,0.6869052631578947
0.5,0.25,0.81,Omni,0.46610526315789474
0.5,0.25,0.81,UASE,0.45277894736842106
0.5,0.25,1,Clarity,0.6302947368421052
0.5,0.25,1,Omni,0.4856842105263158
0.5,0.25,1,UASE,0.4557263157894737
0.5,0.5,0.010000000000000002,Clarity,0.9729052631578947
0.5,0.5,0.010000000000000002,Omni,0.6361473684210527
0.5,0.5,0.010000000000000002,UASE,0.958421052631579
0.5,0.5,0.04000000000000001,Clarity,0.9729894736842105
0.5,0.5,0.04000000000000001,Omni,0.6088631578947369
0.5,0.5,0.04000000000000001,UASE,0.9418526315789474
0.5,0.5,0.09000000000000002,Clarity,0.9742105263157894
0.5,0.5,0.09000000000000002,Omni,0.5669473684210526
0.5,0.5,0.09000000000000002,UASE,0.9148842105263157
0.5,0.5,0.16000000000000003,Clarity,0.975221052631579
0.5,0.5,0.16000000000000003,Omni,0.5271157894736842
0.5,0.5,0.16000000000000003,UASE,0.8778736842105264
0.5,0.5,0.25,Clarity,0.9755157894736842
0.5,0.5,0.25,Omni,0.4941263157894737
0.5,0.5,0.25,UASE,0.8275789473684211
0.5,0.5,0.36,Clarity,0.9708631578947369
0.5,0.5,0.36,Omni,0.46985263157894736
0.5,0.5,0.36,UASE,0.7355157894736842
0.5,0.5,0.4900000000000001,Clarity,0.9518315789473685
0.5,0.5,0.4900000000000001,Omni,0.48185263157894737
0.5,0.5,0.4900000000000001,UASE,0.5794315789473684
0.5,0.5,0.6400000000000001,Clarity,0.9168421052631579
0.5,0.5,0.6400000000000001,Omni,0.44496842105263157
0.5,0.5,0.6400000000000001,UASE,0.5213473684210527
0.5,0.5,0.81,Clarity,0.863578947368421
0.5,0.5,0.81,Omni,0.4361894736842105
0.5,0.5,0.81,UASE,0.4996421052631579
0.5,0.5,1,Clarity,0.8038105263157895
0.5,0.5,1,Omni,0.4750105263157895
0.5,0.5,1,UASE,0.49202105263157897
0.5,0.75,0.010000000000000002,Clarity,0.973178947368421
0.5,0.75,0.010000000000000002,Omni,0.6158947368421053
0.5,0.75,0.010000000000000002,UASE,0.9725052631578948
0.5,0.75,0.04000000000000001,Clarity,0.9734947368421053
0.5,0.75,0.04000000000000001,Omni,0.5944631578947368
0.5,0.75,0.04000000000000001,UASE,0.970421052631579
0.5,0.75,0.09000000000000002,Clarity,0.9744
0.5,0.75,0.09000000000000002,Omni,0.5543157894736842
0.5,0.75,0.09000000000000002,UASE,0.9646315789473684
0.5,0.75,0.16000000000000003,Clarity,0.9755578947368421
0.5,0.75,0.16000000000000003,Omni,0.5119578947368422
0.5,0.75,0.16000000000000003,UASE,0.9578526315789474
0.5,0.75,0.25,Clarity,0.9782736842105263
0.5,0.75,0.25,Omni,0.4626315789473684
0.5,0.75,0.25,UASE,0.9479578947368421
0.5,0.75,0.36,Clarity,0.9820842105263158
0.5,0.75,0.36,Omni,0.5781684210526316
0.5,0.75,0.36,UASE,0.9127368421052632
0.5,0.75,0.4900000000000001,Clarity,0.9819157894736842
0.5,0.75,0.4900000000000001,Omni,0.652821052631579
0.5,0.75,0.4900000000000001,UASE,0.7824421052631579
0.5,0.75,0.6400000000000001,Clarity,0.9704421052631579
0.5,0.75,0.6400000000000001,Omni,0.5887789473684211
0.5,0.75,0.6400000000000001,UASE,0.6764842105263158
0.5,0.75,0.81,Clarity,0.9433052631578948
0.5,0.75,0.81,Omni,0.5121473684210527
0.5,0.75,0.81,UASE,0.6173052631578947
0.5,0.75,1,Clarity,0.8980631578947369
0.5,0.75,1,Omni,0.5037263157894737
0.5,0.75,1,UASE,0.5814105263157895
0.5,1,0.010000000000000002,Clarity,0.9737263157894737
0.5,1,0.010000000000000002,Omni,0.6915789473684211
0.5,1,0.010000000000000002,UASE,0.9836842105263158
0.5,1,0.04000000000000001,Clarity,0.9737473684210526
0.5,1,0.04000000000000001,Omni,0.6678736842105263
0.5,1,0.04000000000000001,UASE,0.9841052631578947
0.5,1,0.09000000000000002,Clarity,0.9748631578947369
0.5,1,0.09000000000000002,Omni,0.6290736842105263
0.5,1,0.09000000000000002,UASE,0.9845052631578948
0.5,1,0.16000000000000003,Clarity,0.9757894736842105
0.5,1,0.16000000000000003,Omni,0.6181473684210527
0.5,1,0.16000000000000003,UASE,0.9841473684210527
0.5,1,0.25,Clarity,0.9790736842105263
0.5,1,0.25,Omni,0.6269473684210526
0.5,1,0.25,UASE,0.9833473684210526
0.5,1,0.36,Clarity,0.9837684210526316
0.5,1,0.36,Omni,0.6987578947368421
0.5,1,0.36,UASE,0.9689894736842105
0.5,1,0.4900000000000001,Clarity,0.988378947368421
0.5,1,0.4900000000000001,Omni,0.7942105263157895
0.5,1,0.4900000000000001,UASE,0.8992210526315789
0.5,1,0.6400000000000001,Clarity,0.9872421052631579
0.5,1,0.6400000000000001,Omni,0.7165473684210526
0.5,1,0.6400000000000001,UASE,0.8224421052631579
0.5,1,0.81,Clarity,0.974378947368421
0.5,1,0.81,Omni,0.6267368421052631
0.5,1,0.81,UASE,0.7608842105263158
0.5,1,1,Clarity,0.9482947368421053
0.5,1,1,Omni,0.589978947368421
0.5,1,1,UASE,0.7038947368421052
0.75,0.25,0.010000000000000002,Clarity,0.9752717391304347
0.75,0.25,0.010000000000000002,Omni,0.6905163043478261
0.75,0.25,0.010000000000000002,UASE,0.939429347826087
0.75,0.25,0.04000000000000001,Clarity,0.9544021739130435
0.75,0.25,0.04000000000000001,Omni,0.6326494565217391
0.75,0.25,0.04000000000000001,UASE,0.8701766304347827
0.75,0.25,0.09000000000000002,Clarity,0.8915489130434783
0.75,0.25,0.09000000000000002,Omni,0.6
0.75,0.25,0.09000000000000002,UASE,0.729945652173913
0.75,0.25,0.16000000000000003,Clarity,0.7858967391304348
0.75,0.25,0.16000000000000003,Omni,0.5602989130434782
0.75,0.25,0.16000000000000003,UASE,0.5959239130434782
0.75,0.25,0.25,Clarity,0.6588451086956522
0.75,0.25,0.25,Omni,0.45001358695652177
0.75,0.25,0.25,UASE,0.5002717391304348
0.75,0.25,0.36,Clarity,0.577133152173913
0.75,0.25,0.36,Omni,0.3985054347826087
0.75,0.25,0.36,UASE,0.46230978260869565
0.75,0.25,0.4900000000000001,Clarity,0.556766304347826
0.75,0.25,0.4900000000000001,Omni,0.4108967391304348
0.75,0.25,0.4900000000000001,UASE,0.44168478260869565
0.75,0.25,0.6400000000000001,Clarity,0.5588858695652174
0.75,0.25,0.6400000000000001,Omni,0.42648097826086956
0.75,0.25,0.6400000000000001,UASE,0.44407608695652173
0.75,0.25,0.81,Clarity,0.55375
0.75,0.25,0.81,Omni,0.4520380434782609
0.75,0.25,0.81,UASE,0.4511548913043478
0.75,0.25,1,Clarity,0.5380570652173913
0.75,0.25,1,Omni,0.4675271739130435
0.75,0.25,1,UASE,0.46683423913043476
0.75,0.5,0.010000000000000002,Clarity,0.9770516304347826
0.75,0.5,0.010000000000000002,Omni,0.6976902173913043
0.75,0.5,0.010000000000000002,UASE,0.978016304347826
0.75,0.5,0.04000000000000001,Clarity,0.9724048913043478
0.75,0.5,0.04000000000000001,Omni,0.6602989130434783
0.75,0.5,0.04000000000000001,UASE,0.9667391304347827
0.75,0.5,0.09000000000000002,Clarity,0.95369565217391306
0.75,0.5,0.09000000000000002,Omni,0.6059375
0.75,0.5,0.09000000000000002,UASE,0.9367119565217391
0.75,0.5,0.16000000000000003,Clarity,0.9176358695652174
0.75,0.5,0.16000000000000003,Omni,0.5662364130434783
0.75,0.5,0.16000000000000003,UASE,0.8953804347826086
0.75,0.5,0.25,Clarity,0.8573097826086956
0.75,0.5,0.25,Omni,0.6121467391304348
0.75,0.5,0.25,UASE,0.8174592391304348
0.75,0.5,0.36,Clarity,0.7807880434782609
0.75,0.5,0.36,Omni,0.5379347826086956
0.75,0.5,0.36,UASE,0.6527853260869565
0.75,0.5,0.4900000000000001,Clarity,0.7319836956521739
0.75,0.5,0.4900000000000001,Omni,0.5209646739130435
0.75,0.5,0.4900000000000001,UASE,0.5403940217391304
0.75,0.5,0.6400000000000001,Clarity,0.725625
0.75,0.5,0.6400000000000001,Omni,0.47183423913043476
0.75,0.5,0.6400000000000001,UASE,0.49911684782608695
0.75,0.5,0.81,Clarity,0.7108967391304348
0.75,0.5,0.81,Omni,0.4451086956521739
0.75,0.5,0.81,UASE,0.48758152173913044
0.75,0.5,1,Clarity,0.6841032608695652
0.75,0.5,1,Omni,0.4560597826086957
0.75,0.5,1,UASE,0.49911684782608695
0.75,0.75,0.010000000000000002,Clarity,0.9772010869565217
0.75,0.75,0.010000000000000002,Omni,0.6746331521739131
0.75,0.75,0.010000000000000002,UASE,0.9877309782608695
0.75,0.75,0.04000000000000001,Clarity,0.97599184782608694
0.75,0.75,0.04000000000000001,Omni,0.6978125000000001
0.75,0.75,0.04000000000000001,UASE,0.9847282608695652
0.75,0.75,0.09000000000000002,Clarity,0.9708831521739131
0.75,0.75,0.09000000000000002,Omni,0.7395788043478261
0.75,0.75,0.09000000000000002,UASE,0.9745244565217391
0.75,0.75,0.16000000000000003,Clarity,0.961195652173913
0.75,0.75,0.16000000000000003,Omni,0.8038586956521739
0.75,0.75,0.16000000000000003,UASE,0.9679347826086957
0.75,0.75,0.25,Clarity,0.9381929347826087
0.75,0.75,0.25,Omni,0.8458016304347826
0.75,0.75,0.25,UASE,0.9512364130434783
0.75,0.75,0.36,Clarity,0.8977853260869565
0.75,0.75,0.36,Omni,0.8424592391304347
0.75,0.75,0.36,UASE,0.832391304347826
0.75,0.75,0.4900000000000001,Clarity,0.8602853260869565
0.75,0.75,0.4900000000000001,Omni,0.729008152173913
0.75,0.75,0.4900000000000001,UASE,0.7218478260869565
0.75,0.75,0.6400000000000001,Clarity,0.8491983695652174
0.75,0.75,0.6400000000000001,Omni,0.628070652173913
0.75,0.75,0.6400000000000001,UASE,0.6350135869565218
0.75,0.75,0.81,Clarity,0.8325951086956522
0.75,0.75,0.81,Omni,0.5374864130434782
0.75,0.75,0.81,UASE,0.5851902173913044
0.75,0.75,1,Clarity,0.8020516304347826
0.75,0.75,1,Omni,0.5207608695652174
0.75,0.75,1,UASE,0.5710597826086956
0.75,1,0.010000000000000002,Clarity,0.9782744565217392
0.75,1,0.010000000000000002,Omni,0.8871059782608696
0.75,1,0.010000000000000002,UASE,0.9873369565217391
0.75,1,0.04000000000000001,Clarity,0.9780434782608696
0.75,1,0.04000000000000001,Omni,0.8986413043478261
0.75,1,0.04000000000000001,UASE,0.9877038043478261
0.75,1,0.09000000000000002,Clarity,0.9778940217391304
0.75,1,0.09000000000000002,Omni,0.9144972826086957
0.75,1,0.09000000000000002,UASE,0.9880570652173913
0.75,1,0.16000000000000003,Clarity,0.9779891304347826
0.75,1,0.16000000000000003,Omni,0.9325815217391304
0.75,1,0.16000000000000003,UASE,0.9864945652173913
0.75,1,0.25,Clarity,0.9751358695652174
0.75,1,0.25,Omni,0.9327445652173914
0.75,1,0.25,UASE,0.9775
0.75,1,0.36,Clarity,0.9592527173913044
0.75,1,0.36,Omni,0.9378532608695652
0.75,1,0.36,UASE,0.9094565217391304
0.75,1,0.4900000000000001,Clarity,0.9385733695652174
0.75,1,0.4900000000000001,Omni,0.9001358695652174
0.75,1,0.4900000000000001,UASE,0.8364266304347826
0.75,1,0.6400000000000001,Clarity,0.9279891304347826
0.75,1,0.6400000000000001,Omni,0.7759375000000001
0.75,1,0.6400000000000001,UASE,0.7618614130434782
0.75,1,0.81,Clarity,0.9136548913043478
0.75,1,0.81,Omni,0.6798641304347826
0.75,1,0.81,UASE,0.6992391304347826
0.75,1,1,Clarity,0.886875
0.75,1,1,Omni,0.61375
0.75,1,1,UASE,0.6687907608695652
1,0.25,0.010000000000000002,Clarity,0.4648333333333333
1,0.25,0.010000000000000002,Omni,0.9292444444444444
1,0.25,0.010000000000000002,UASE,0.4960888888888889
1,0.25,0.04000000000000001,Clarity,0.4631777777777778
1,0.25,0.04000000000000001,Omni,0.8155222222222223
1,0.25,0.04000000000000001,UASE,0.5034666666666667
1,0.25,0.09000000000000002,Clarity,0.4620444444444444
1,0.25,0.09000000000000002,Omni,0.6217555555555556
1,0.25,0.09000000000000002,UASE,0.49081111111111114
1,0.25,0.16000000000000003,Clarity,0.45145555555555555
1,0.25,0.16000000000000003,Omni,0.524
1,0.25,0.16000000000000003,UASE,0.48612222222222223
1,0.25,0.25,Clarity,0.4352
1,0.25,0.25,Omni,0.4158222222222222
1,0.25,0.25,UASE,0.4655222222222222
1,0.25,0.36,Clarity,0.4298
1,0.25,0.36,Omni,0.3976222222222222
1,0.25,0.36,UASE,0.45822222222222225
1,0.25,0.4900000000000001,Clarity,0.44532222222222223
1,0.25,0.4900000000000001,Omni,0.4301666666666667
1,0.25,0.4900000000000001,UASE,0.44758888888888887
1,0.25,0.6400000000000001,Clarity,0.4859777777777778
1,0.25,0.6400000000000001,Omni,0.4313777777777778
1,0.25,0.6400000000000001,UASE,0.44951111111111114
1,0.25,0.81,Clarity,0.5043888888888889
1,0.25,0.81,Omni,0.45347777777777776
1,0.25,0.81,UASE,0.4615222222222222
1,0.25,1,Clarity,0.5090222222222223
1,0.25,1,Omni,0.4640666666666667
1,0.25,1,UASE,0.4726777777777778
1,0.5,0.010000000000000002,Clarity,0.5204111111111112
1,0.5,0.010000000000000002,Omni,1
1,0.5,0.010000000000000002,UASE,0.5826666666666667
1,0.5,0.04000000000000001,Clarity,0.5266444444444445
1,0.5,0.04000000000000001,Omni,0.9959333333333333
1,0.5,0.04000000000000001,UASE,0.5853666666666667
1,0.5,0.09000000000000002,Clarity,0.5289222222222222
1,0.5,0.09000000000000002,Omni,0.9795888888888888
1,0.5,0.09000000000000002,UASE,0.5826222222222223
1,0.5,0.16000000000000003,Clarity,0.5188333333333334
1,0.5,0.16000000000000003,Omni,0.9084111111111111
1,0.5,0.16000000000000003,UASE,0.567
1,0.5,0.25,Clarity,0.49887777777777775
1,0.5,0.25,Omni,0.7241222222222222
1,0.5,0.25,UASE,0.5505666666666666
1,0.5,0.36,Clarity,0.4920111111111111
1,0.5,0.36,Omni,0.6125888888888888
1,0.5,0.36,UASE,0.5315777777777778
1,0.5,0.4900000000000001,Clarity,0.5174666666666666
1,0.5,0.4900000000000001,Omni,0.5273444444444445
1,0.5,0.4900000000000001,UASE,0.5050888888888889
1,0.5,0.6400000000000001,Clarity,0.5809888888888889
1,0.5,0.6400000000000001,Omni,0.47821111111111114
1,0.5,0.6400000000000001,UASE,0.48602222222222224
1,0.5,0.81,Clarity,0.6119444444444444
1,0.5,0.81,Omni,0.4400888888888889
1,0.5,0.81,UASE,0.4881
1,0.5,1,Clarity,0.6163666666666667
1,0.5,1,Omni,0.45533333333333337
1,0.5,1,UASE,0.4988222222222222
1,0.75,0.010000000000000002,Clarity,0.6242888888888889
1,0.75,0.010000000000000002,Omni,1
1,0.75,0.010000000000000002,UASE,0.6828111111111111
1,0.75,0.04000000000000001,Clarity,0.6300555555555556
1,0.75,0.04000000000000001,Omni,1
1,0.75,0.04000000000000001,UASE,0.6825777777777778
1,0.75,0.09000000000000002,Clarity,0.6348111111111111
1,0.75,0.09000000000000002,Omni,0.9999888888888889
1,0.75,0.09000000000000002,UASE,0.6795333333333333
1,0.75,0.16000000000000003,Clarity,0.6266666666666667
1,0.75,0.16000000000000003,Omni,0.9904111111111111
1,0.75,0.16000000000000003,UASE,0.6726111111111112
1,0.75,0.25,Clarity,0.6106444444444444
1,0.75,0.25,Omni,0.9712888888888889
1,0.75,0.25,UASE,0.6684666666666667
1,0.75,0.36,Clarity,0.6042222222222222
1,0.75,0.36,Omni,0.8918666666666667
1,0.75,0.36,UASE,0.6489888888888888
1,0.75,0.4900000000000001,Clarity,0.6289888888888889
1,0.75,0.4900000000000001,Omni,0.7891333333333334
1,0.75,0.4900000000000001,UASE,0.6073555555555555
1,0.75,0.6400000000000001,Clarity,0.6920333333333334
1,0.75,0.6400000000000001,Omni,0.6651222222222223
1,0.75,0.6400000000000001,UASE,0.5621888888888888
1,0.75,0.81,Clarity,0.7224777777777778
1,0.75,0.81,Omni,0.5486111111111112
1,0.75,0.81,UASE,0.5483666666666667
1,0.75,1,Clarity,0.7269666666666666
1,0.75,1,Omni,0.4998888888888889
1,0.75,1,UASE,0.5494888888888889
1,1,0.010000000000000002,Clarity,0.7310888888888889
1,1,0.010000000000000002,Omni,1
1,1,0.010000000000000002,UASE,0.7927
1,1,0.04000000000000001,Clarity,0.7379666666666667
1,1,0.04000000000000001,Omni,0.9998777777777778
1,1,0.04000000000000001,UASE,0.7838333333333334
1,1,0.09000000000000002,Clarity,0.7434
1,1,0.09000000000000002,Omni,0.9995444444444445
1,1,0.09000000000000002,UASE,0.7746222222222222
1,1,0.16000000000000003,Clarity,0.7430888888888889
1,1,0.16000000000000003,Omni,0.9991333333333333
1,1,0.16000000000000003,UASE,0.7659777777777778
1,1,0.25,Clarity,0.7362111111111111
1,1,0.25,Omni,0.9933222222222222
1,1,0.25,UASE,0.7566
1,1,0.36,Clarity,0.7332777777777778
1,1,0.36,Omni,0.9802777777777778
1,1,0.36,UASE,0.7393555555555555
1,1,0.4900000000000001,Clarity,0.7560333333333333
1,1,0.4900000000000001,Omni,0.9227333333333333
1,1,0.4900000000000001,UASE,0.7036111111111111
1,1,0.6400000000000001,Clarity,0.8002888888888889
1,1,0.6400000000000001,Omni,0.7939555555555555
1,1,0.6400000000000001,UASE,0.6507555555555555
1,1,0.81,Clarity,0.8221777777777778
1,1,0.81,Omni,0.6787888888888889
1,1,0.81,UASE,0.6311777777777778
1,1,1,Clarity,0.8205888888888889
1,1,1,Omni,0.6028666666666667
1,1,1,UASE,0.6234222222222222
